name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"anonyme-d-alcippe-et-de-drionice","fre001502","","[anonyme]","0","Dialogue d'Alcippe et de Dionice","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEALCIPPEDRIONICE.xml","","","","","1659","2","false","0","1","1","alcipe|drionice","1","1","","1659","1","2","0","1","1","0","1","1","","1","","0","1272","1214","100","16","0"
"anonyme-deroute-des-precieuses","fre000023","","[anonyme]","0","La Déroute des Précieuses","Mascarade","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DEROUTEDESPRECIEUSES.xml","","","","","1659","7","false","0","0.047619047619047616","1","colporteur-portant|le-colporteur-criant","0.2857142857142857","1","","1659","1","7","0","3","4","0","6","1","","6","","0","1165","627","486","0","79"
"anonyme-dialogue-des-yeux-et-de-la-bouche","fre001503","","[anonyme]","0","Dialogue des Yeux et de la Bouche","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEDESYEUXETDELABOUCHE.xml","","","","","1659","2","false","0","1","1","la-bouche|les-yeux","1","1","","1659","1","2","0","0","2","0","1","1","","1","","0","2175","2125","118","22","0"
"anonyme-dialogue-rousseau-voltaire","fre000024","","[anonyme]","0","Dialogue entre Voltaire et Rousseau","Après leur Passage du Styx","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEROUSSEAUVOLTAIRE.xml","","","","","1778","2","false","0","1","1","rousseau|voltaire","1","1","","1778","1","2","0","2","0","0","1","1","","1","","1","1671","1519","0","24","77"
"anonyme-jeu-d-esmoree","fre000025","","[anonyme]","0","Le Jeu d'Esmorée","Fils du Roi de Sicile","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JEUDESMOREE.xml","","","","","1835","7","false","0.7761904761904762","0.6190476190476191","1.4285714285714286","esmoree|l-astrologue","3.7142857142857144","3","","1835","5","7","2","2","3","0","1","13","","18","","0","8868","6051","33","119","0"
"anonyme-jus-du-pelerin","fre000026","","[anonyme]","1","Le Jus du Pelerin","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JUSDUPELERIN.xml","","","","","1834","7","false","1","1","1","several characters","6","1","","1834","6","7","0","2","5","0","1","21","","1","","0","1172","1131","4","37","2"
"anonyme-matinee-comedien-francais","fre000027","","[anonyme]","0","La Matinée du Comédien Français","Comédie","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_MATINEECOMEDIENFRANCAIS.xml","","","","","1785","5","false","0.7","0.7","1.3","belval","2.8","2","","1785","4","5","1","3","1","0","1","7","","12","","1","6138","6040","72","249","0"
"anonyme-pardonneur","fre000028","","[anonyme]","0","Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PARDONNEUR.xml","","","","","1520","3","false","1","1","1","le-pardonneur|le-triacleur|la-taverniere","2","1","","","2","3","1","1","1","0","1","3","1517/1520","2","","1","2426","2348","14","0","331"
"anonyme-pont-aux-anes","fre000029","","[anonyme]","0","Farce Nouvelle Fort Joyeuse du Pont aux Anes","À quatre personnages,c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PONTAUXANES.xml","","","","","1480","4","false","0","0.5","1.5","le-mari","1.5","2","","","3","4","0","3","1","0","1","3","1480","4","","0","2235","2154","3","0","306"
"anonyme-portier-du-parnasse","fre000030","","[anonyme]","0","Le Portier du Parnasse","Ou les Poètes Réformés","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PORTIERDUPARNASSE.xml","","","","","1770","12","false","0.6518518518518519","0.25757575757575757","1.690909090909091","apollon","2.8333333333333335","2","","1770","10","12","4","6","2","0","2","17","","23","","1","8692","8286","53","334","0"
