id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000520,dorimond-femme-industrieuse,dorimond-femme-industrieuse,,Comedy,False,Dorimond,La Femme Industrieuse,Comédie,0,leandre,20,1,6,4,2,0,0,2,741,,7812,7359,42,,,1661,1661.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORIMOND_FEMMEINDUSTRIEUSE.xml', 'http://theatre-classique.fr/pages/documents/DORIMOND_FEMMEINDUSTRIEUSE.xml']",,,,,3.333333333333333,0.6666666666666661,0.6944444444444441,6,5.0,1.0,10.0,2.0,1.333333333333333
fre000521,dorneval-fuzelier-lesage-arlequin-roi-des-ogres,dorneval-fuzelier-lesage-arlequin-roi-des-ogres,,Comedy,False,Dorneval,Arlequin Roi des Ogres,Pièce d'un Acte,2,arlequin,22,1,20,6,0,14,0,265,9,,4799,4384,721,,1720.0,1720,1720.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVALFUZELIERLESAGE_ARLEQUINROIDESOGRES.xml', 'http://theatre-classique.fr/pages/documents/DORNEVALFUZELIERLESAGE_ARLEQUINROIDESOGRES.xml']",,,,,4.7,0.24736842105263102,0.8513936063936061,20,14.0,2.0,47.0,3.0,1.8057553956834531
fre000526,dorneval-jugement-de-paris,dorneval-jugement-de-paris,,,False,Dorneval,Le Jugement de Pâris,Pièce d'un Acte,0,venus,11,0,13,4,5,4,0,113,200,,3431,3288,479,,1718.0,1718,1718.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVAL_JUGEMENTDEPARIS.xml', 'http://theatre-classique.fr/pages/documents/DORNEVAL_JUGEMENTDEPARIS.xml']",,,,,6.769230769230769,0.5641025641025641,0.869735819735819,13,12.0,1.0,44.0,2.0,1.4358974358974361
fre000522,dorneval-lesage-amours-de-nanterre,dorneval-lesage-amours-de-nanterre,,,True,Dorneval,Les Amours de Nanterre,Opéra Comique,0,madame-thomas,18,1,8,5,3,0,0,244,373,,6120,5900,636,,1718.0,1763,1718.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVALLESAGE_AMOURSDENANTERRE.xml', 'http://theatre-classique.fr/pages/documents/DORNEVALLESAGE_AMOURSDENANTERRE.xml']",,,,,5.0,0.7142857142857141,0.8607142857142851,8,7.0,1.0,20.0,2.0,1.2857142857142851
fre000523,dorneval-lesage-couplets-en-proces,dorneval-lesage-couplets-en-proces,,,False,Dorneval,Les Couplets en Procès,Prologue,1,maitre-grossel,6,1,11,4,0,7,0,71,217,,3006,2727,398,,1730.0,1730,1730.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVALLESAGE_COUPLETSENPROCES.xml', 'http://theatre-classique.fr/pages/documents/DORNEVALLESAGE_COUPLETSENPROCES.xml']",,,,,4.363636363636363,0.436363636363636,0.908008658008657,11,8.0,1.0,24.0,3.0,1.672727272727272
fre000524,dorneval-lesage-opera-comique,dorneval-lesage-opera-comique,,,True,Dorneval,L'Opéra Comique Assiégé,Pièce d'un Acte,1,la-comedie-italienne,17,1,17,5,3,9,0,49,315,,3895,3452,681,,1730.0,1730,1730.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVALLESAGE_OPERACOMIQUE.xml', 'http://theatre-classique.fr/pages/documents/DORNEVALLESAGE_OPERACOMIQUE.xml']",,,,,4.9411764705882355,0.308823529411764,0.6829640947288,17,12.0,1.0,42.0,4.0,1.970588235294117
fre000525,dorneval-lesage-reine-de-barostan,dorneval-lesage-reine-de-barostan,,,True,Dorneval,La Reine du Barostan,Pièce d'un Acte,0,almoraddin|assan,18,1,9,5,3,1,0,89,574,,5273,5034,850,,1730.0,1730,1730.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORNEVALLESAGE_REINEDEBAROSTAN.xml', 'http://theatre-classique.fr/pages/documents/DORNEVALLESAGE_REINEDEBAROSTAN.xml']",,,,,4.444444444444445,0.555555555555555,0.799999999999999,9,7.0,1.0,20.0,3.0,1.472222222222222
fre000527,doruxigne-alzate,doruxigne-alzate,,Comedy,False,Gazon-Doruxigné,Alzate ou Le Préjugé Détruit,Piéce en un Acte et en Vers.,0,ariste,14,1,7,3,2,2,0,0,748,,6370,6153,18,,1749.0,1752,1749.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORUXIGNE_ALZATE.xml', 'http://theatre-classique.fr/pages/documents/DORUXIGNE_ALZATE.xml']",,,,,4.0,0.6666666666666661,0.7333333333333331,7,6.0,1.0,14.0,2.0,1.333333333333333
fre000528,dorvo-lamentin,dorvo-lamentin,,Comedy,False,Dorvo,Monsieur Lamentin,Ou la Manie de se Plaindre,0,several characters,16,0,6,2,1,3,0,0,924,,7740,7301,102,,,1808,1808.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DORVO_LAMENTIN.xml', 'http://theatre-classique.fr/pages/documents/DORVO_LAMENTIN.xml']",,,,,5.0,1.0,1.0,6,5.0,1.0,15.0,1.0,1.0
fre001683,dreyfus-la-gifle,dreyfus-la-gifle,,Comedy,False,Dreyfus,La Gifle,Comédie en un Acte,0,several characters,9,0,4,2,0,2,0,418,0,,6236,6023,628,,,1878,1878.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DREYFUS_GIFLE.xml', 'http://theatre-classique.fr/pages/documents/DREYFUS_GIFLE.xml']",,,,,3.0,1.0,1.0,4,3.0,1.0,6.0,1.0,1.0
